facility_id,name,state,water_bws_raw,water_bws_score,water_bws_cat,water_bws_label,water_stress_class
dc_f8e6324f3558,Evocative San Jose (SV7),CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_471ff8a35a44,iM Critical Miami,FL,0.6942381690880919,3.795430686457698,3.0,High (40-80%),high
dc_f3ae051ee57a,Digital Realty PHX10 (120 E Van Buren),AZ,2.482063336766467,5.0,4.0,Extremely High (>80%),extremely_high
dc_7c0cbc96d748,Level(3) Sunnyvale,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_cab7dc076637,Printer's Square Chicago (600 S Federal),IL,0.5400128749200278,3.4329938042424906,3.0,High (40-80%),high
dc_5a3cb29dc9a8,Netrality - Indy Telcom Center - 733 W. Henry,IN,0.3542272196131897,2.8246750762686608,2.0,Medium - High (20-40%),medium_to_high
dc_0967d5287af9,FiberNet Telecom Group - 60 Hudson St,NY,0.0582514275760176,0.2203653116452903,0.0,Low (<10%),low
dc_7d8d010f3707,FiberNet Telecom Group New York (111 Eighth Ave),NY,0.0309236161688102,0.0,0.0,Low (<10%),low
dc_970d93b0c688,Level(3) Weehawken,NJ,0.0309236161688102,0.0,0.0,Low (<10%),low
dc_c005344da0ff,Markley Group One Summer Street Boston,MA,0.2278930477820012,2.188356913706249,2.0,Medium - High (20-40%),medium_to_high
dc_d53cb59c41ed,Peace Communications  KNX1,TN,0.0180097332120808,0.0,0.0,Low (<10%),low
dc_2839fc2c5212,Looking Glass Networks NYC Node,NY,0.0582514275760176,0.2203653116452903,0.0,Low (<10%),low
dc_5cdbfb9dbc3c,Level(3) Atlanta (Courtland),GA,0.2660305124910562,2.4115917257827646,2.0,Medium - High (20-40%),medium_to_high
dc_02182668c9f0,Level(3) Chicago (Canal),IL,0.5400128749200278,3.4329938042424906,3.0,High (40-80%),high
dc_4cfa0741336f,ServerCondo-219 Albuquerque,NM,0.5967076002789633,3.577024152651049,3.0,High (40-80%),high
dc_2d7b8c28a757,Citynet Columbus,OH,0.3566046586726747,2.8343255504112053,2.0,Medium - High (20-40%),medium_to_high
dc_474103050162,Citynet Pittsburgh,PA,0.1080393756742169,1.1115572080998946,1.0,Low - Medium (10-20%),low_to_medium
dc_07b3382b03ec,Citynet Indianapolis,IN,0.3542272196131897,2.8246750762686608,2.0,Medium - High (20-40%),medium_to_high
dc_767f1e943a61,PTOR1,OR,0.0235327613407314,0.0,0.0,Low (<10%),low
dc_877f8d001c22,Centersquare New Jersey (EWR5),NJ,0.2030962023699618,2.0221632633994706,2.0,Medium - High (20-40%),medium_to_high
