facility_id,name,operator_company,facility_type,status,state,county,latitude,longitude,coordinate_precision,verification_status,coord_confidence,size_sqft,num_floors,haz_lightning_flash_per_km2_yr,haz_seismic_pga_g_475yr,haz_seismic_pga_g_475yr_method,haz_seismic_pga_g_975yr,haz_seismic_pga_g_975yr_method,haz_seismic_pga_g_2475yr,haz_seismic_pga_g_2475yr_method,haz_wildfire_whp_code,haz_wildfire_whp_severity,haz_wildfire_surface,haz_wildfire_burnable_frac_1000m,haz_wildfire_max_severity_1000m,haz_wildfire_burnable_frac_2400m,haz_wildfire_max_severity_2400m,haz_wildfire_burnable_frac_5000m,haz_wildfire_max_severity_5000m,haz_seismic_pga_g_2475yr_usgs,haz_seismic_sa_02s_g,haz_seismic_sa_1s_g,haz_seismic_sa_02s_g_975yr,haz_seismic_sa_1s_g_975yr,haz_seismic_sa_02s_g_225yr,haz_seismic_sa_1s_g_225yr,haz_seismic_source,qa_coordinate_on_water
dc_c91b689569e2,Data Holdings Data Center,,unknown,operational,WI,Milwaukee,43.0439408,-87.9539794,building,pending,medium,,,8.040300369262695,0.015,1,0.035,1,0.055,1,6.0,,non_burnable,0.0,,0.04878048780487805,1.0,0.03345724907063197,1.0,0.042,0.095,0.055,0.05,0.036,0.021,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_8f61bbab2b18,STACK Infrastructure,"Stack Infrastructure, Incorporated",colocation,operational,CA,Santa Clara,37.403305,-121.891247,building,CANDIDATE,medium,,,0.12219325453042984,0.645,1,0.845,1,1.125,1,6.0,,non_burnable,0.0,,0.0199203187250996,3.0,0.1287037037037037,4.0,0.7,2.06,0.83,2.159,0.788,1.182,0.404,USGS ASCE 7-22 point service (site class BC),False
dc_16b0103c1ecb,Digital West Data Center,,unknown,operational,CA,San Luis Obispo,35.2553162,-120.6415128,building,pending,medium,,,0.12851876020431519,0.235,1,0.325,1,0.485,1,6.0,,non_burnable,0.4,4.0,0.532,5.0,0.6273234200743495,5.0,0.48,1.22,0.4,0.77,0.283,0.344,0.127,USGS ASCE 7-22 point service (site class BC),False
dc_e0a8ffe0675b,Chick-fil-A Hiring Center,Dennis Sampier,unknown,operational,MI,Macomb,42.6279424,-82.9883939,building,pending,medium,,,16.57863998413086,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.11627906976744186,1.0,0.10040160642570281,1.0,0.16326530612244897,2.0,0.044,0.098,0.047,0.058,0.032,0.024,0.014,USGS ASCE 7-22 point service (site class BC),False
dc_9fe2fa1cb2a0,Ergonomic Group,,unknown,operational,CT,Capitol,41.706538,-72.590904,building,CANDIDATE,medium,,,4.7566447257995605,0.07500000000000001,1,0.11499999999999999,1,0.225,1,6.0,,non_burnable,0.2619047619047619,3.0,0.42231075697211157,3.0,0.5467160037002775,3.0,0.11,0.21,0.049,0.118,0.037,0.048,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_e6031badf345,San Jose Colocation Center,CoreSite,colocation,operational,CA,Santa Clara,37.334508,-121.89143,building,CANDIDATE,medium,,,0.12219325453042984,0.655,1,0.865,1,1.145,1,6.0,,non_burnable,0.023255813953488372,4.0,0.032388663967611336,4.0,0.04930232558139535,4.0,0.51,1.5,0.62,1.718,0.631,0.989,0.338,USGS ASCE 7-22 point service (site class BC),False
dc_a6907eaa6ace,Amazon Web Services IAD69,Amazon Web Services,hyperscale,operational,VA,Loudoun,39.0254851,-77.4146998,building,pending,medium,,,13.613815307617188,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.046511627906976744,1.0,0.2804878048780488,1.0,0.3413953488372093,1.0,0.077,0.15,0.042,0.083,0.03,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_165fe373f4a4,Stream Data Centers Houston,,unknown,operational,TX,Montgomery,30.1777082,-95.486593,building,pending,high,126121.9,,22.235015869140625,0.015,1,0.025,1,0.045,1,6.0,,non_burnable,0.11627906976744186,3.0,0.17959183673469387,3.0,0.2777777777777778,3.0,0.039,0.085,0.046,0.043,0.03,0.017,0.01,USGS ASCE 7-22 point service (site class BC),False
dc_70473eb49a8f,Crown Castle Baltimore,Crown Castle Fiber,unknown,operational,MD,Baltimore,39.287752,-76.60685,building,CANDIDATE,medium,,,14.052087783813477,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.020161290322580645,1.0,0.07434944237918216,1.0,0.081,0.16,0.041,0.084,0.029,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_a5cc2c2adb3a,AiNET One Market Center,AiNET,unknown,operational,MD,Baltimore,39.29165,-76.61974,building,CANDIDATE,medium,,,14.052087783813477,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.020161290322580645,1.0,0.09090909090909091,1.0,0.081,0.16,0.041,0.084,0.029,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
