facility_id,name,state,latitude,longitude,building_match,building_dist_m,search_radius_m,n_buildings_in_radius,largest_nearby_sqft,largest_nearby_dist_m,largest_nearby_height_m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,building_match_confidence,multi_storey,fp_cells,fp_whp_max,fp_whp_burnable_frac,fp_whp_modal,haz_wildfire_whp_code,haz_wildfire_max_severity_1000m,haz_seismic_pga_g_475yr,haz_lightning_flash_per_km2_yr
dc_d8e488d2ebd7,42254 THUNDERBALL DR,VA,39.0434964,-77.5408399,contains,0.0,200.0,7,90421.9,0.0,,51109560.0,90421.9,90457.07,,Commercial,42254 THUNDERBALL DRIVE,1710374400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,3.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.055,11.454973220825195
dc_9c834cc92f25,Meta Gallatin Data Center,TN,36.4118929,-86.3696526,nearest,170.3121564370753,200.0,1,5047.2,170.3121564370753,,6655356.0,5047.2,5043.572,,Government,1 META LOOP,1473206400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,1.0,1.0,1.0,1.0,1.0,0.075,15.3280611038208
dc_c5abef17961c,GVTC,TX,29.686403,-98.4626475,nearest,56.30216785090329,200.0,73,4453.5,174.26311066663575,,5382607.0,1237.1,1209.602,,Residential,25854 OVERLOOK PKWY,1547251200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,2.0,0.015,12.824677467346191
dc_ad74ffb219ab,Stream Data Centers DFWA,TX,32.98368,-96.65813,nearest,18.73157463755882,200.0,5,245913.9,159.9256131544704,11.09,37306591.0,222732.8,222817.3,,Unclassified,,1654992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,3.0,2.0,0.3333333333333333,6.0,6.0,2.0,0.025,18.841638565063477
dc_21bf956aedf2,MARA Data Center,TX,32.34343,-97.7324,nearest,160.16398804312257,200.0,6,3398.2,195.81421089348697,,36608675.0,466.4,466.2114,,Agriculture,1911 MITCHELL BEND HIGHWAY,1656115200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,2.0,3.0,0.015,16.607601165771484
dc_709476f6cd40,,VA,38.9480346,-77.5589842,nearest,101.21927533719204,200.0,8,153968.1,131.6242066426799,,7866483.0,2753.2,2753.167,5.3,Unclassified,24224 QUAIL RIDGE LANE,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,1.0,1.0,1.0,6.0,1.0,0.065,12.71955680847168
dc_533d38eafbc1,,VA,38.9500822,-77.5588677,nearest,81.42755366763183,200.0,1,153968.1,81.42755366763183,,51555554.0,153968.1,154031.5,,Unclassified,24244 QUAIL RIDGE LANE,1654387200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,1.0,1.0,1.0,1.0,1.0,0.065,12.71955680847168
dc_c11c998fe76e,Amazon AWS Data Center,IN,41.670256,-86.471656,nearest,142.33597695223358,200.0,3,989.7,155.84028967522988,,10109368.0,527.8,646.6274,,Residential,,1438560000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,1.0,0.035,14.747052192687988
dc_66e21c80d487,Iron Mountain VA-6,VA,38.76827,-77.53869,nearest,243.91724002488175,800.0,62,48405.8,674.0580951525396,14.47,7686045.0,2016.0,2015.988,3.72,Unclassified,11460 FIVE FORKS ROAD,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,False,1.0,,0.0,6.0,6.0,2.0,0.065,12.71955680847168
dc_789e4943512c,Ark Duluth Data Center,MN,46.8274678,-92.1304819,contains,0.0,200.0,3,35345.9,192.3572692111915,,878630.0,32047.2,32025.03,,Commercial,3401 TECHNOLOGY DRIVE,1553126400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,3.0,0.005,7.881808280944824
