facility_id,name,state,latitude,longitude,building_match,building_dist_m,n_buildings_200m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,multi_storey
dc_c2c582121fae,Morgan Wireless,WV,39.6309851,-78.2253196,nearest,1.640518663155707,72,881600.0,3755.7,3757.933,,Commercial,,1453593600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_6324e54cb1f3,VIRTBIZ,TX,32.7825463,-96.7828145,contains,0.0,32,29791370.0,35002.5,35002.43,5.32,Industrial,2825 CANTON STREET,1435708800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_94697aa66760,FirstLight Data Center,ME,43.657708,-70.261781,nearest,1.9759523590086077,80,272357.0,10620.4,10614.6,,Industrial,340 CUMBERLAND AVENUE,1490486400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_72d8cb06afd7,Learning GIS!,IN,40.42179,-86.9141546,contains,0.0,22,16085715.0,22219.3,22509.81,,Education,625 AGRICULTURE MALL DRIVE,1521676800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_ba3a04b0acb7,Agricultural and Biological Engineering,IN,40.4218543,-86.9165454,contains,0.0,22,16085759.0,37741.5,37052.57,,Education,225 SOUTH UNIVERSITY STREET,1521676800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_eef3ba94431e,Windstream Communications,NC,35.881397,-78.851552,contains,0.0,12,9881581.0,68623.3,67545.55,,Commercial,5400 SOUTH MIAMI BOULEVARD,1510790400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_d1631b663c48,Level 3 Communications,NC,35.881364,-78.8515726,contains,0.0,13,9881581.0,68623.3,67545.55,,Commercial,5400 SOUTH MIAMI BOULEVARD,1510790400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_a28b6b533687,OptimumHQ,AZ,33.3804149,-111.7526684,contains,0.0,55,4315286.0,29209.9,29384.57,,Commercial,,1507507200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,
dc_2980260de3e5,The Chatfield Group,AZ,33.380601,-111.7528888,contains,0.0,54,4315286.0,29209.9,29384.57,,Commercial,,1507507200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,
dc_b9549d1a3e6c,All About Serving Process Server,AZ,33.3199157,-111.809686,contains,0.0,84,4186096.0,17515.8,17927.34,,Commercial,1909 EAST RAY ROAD,1507507200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,
dc_4dccde6d1dfb,Emailage,AZ,33.302965,-111.8405386,contains,0.0,22,11987712.0,27358.5,27358.47,19.6,Commercial,25 SOUTH ARIZONA PLACE,1295654400000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,True
dc_0ffde5e0d6a1,Alliance Technology,AZ,33.3799862,-111.728405,contains,0.0,59,4311695.0,17813.1,17469.15,,Commercial,4850 EAST BASELINE ROAD,1507507200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,
dc_74f18bfa8df0,8100 Boone Boulevard,VA,38.913156,-77.225732,nearest,31.13872411097217,13,7901849.0,34656.7,34656.68,21.94,Industrial,8130 BOONE BOULEVARD,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_4465586fa278,Atlanta ATL13,GA,33.7555186,-84.3914814,contains,0.0,24,17206825.0,15776.9,15776.92,37.45,Commercial,,1351209600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_c91b689569e2,Data Holdings Data Center,WI,43.0439408,-87.9539794,contains,0.0,91,10210502.0,23944.2,23928.58,10.52,Commercial,,1351900800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_8f61bbab2b18,STACK Infrastructure,CA,37.403305,-121.891247,nearest,30.833288812779326,24,15791960.0,6823.0,6822.966,4.79,Industrial,,1349049600000.0,AO,True,True,,False
dc_16b0103c1ecb,Digital West Data Center,CA,35.2553162,-120.6415128,contains,0.0,38,4022276.0,12110.4,12441.83,,Industrial,,1440201600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_e0a8ffe0675b,Chick-fil-A Hiring Center,MI,42.6279424,-82.9883939,contains,0.0,9,6748538.0,12528.3,12526.46,,Commercial,,1475798400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_9fe2fa1cb2a0,Ergonomic Group,CT,41.706538,-72.590904,nearest,8.311878672906406,31,569236.0,1582.0,1582.3,,Industrial,36 KREIGER LANE,1564099200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_e6031badf345,San Jose Colocation Center,CA,37.334508,-121.89143,nearest,9.983881229183318,29,15648160.0,59302.9,59302.88,31.09,Utility and Misc,,1349049600000.0,D,True,False,,True
dc_a6907eaa6ace,Amazon Web Services IAD69,VA,39.0254851,-77.4146998,contains,0.0,9,50997659.0,312769.1,312855.1,,Commercial,21111 RIDGETOP CIRCLE,1710374400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_165fe373f4a4,Stream Data Centers Houston,TX,30.1777082,-95.486593,contains,0.0,25,26337448.0,114958.9,114928.7,,Commercial,4001 TECHNOLOGY FOREST BLVD,1524700800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_70473eb49a8f,Crown Castle Baltimore,MD,39.287752,-76.60685,nearest,16.483992905816294,24,7701329.0,97274.4,97274.32,29.67,Commercial,124 MARKET PLACE,1347494400000.0,AE,True,True,,True
dc_a5cc2c2adb3a,AiNET One Market Center,MD,39.29165,-76.61974,contains,0.0,34,7704904.0,93212.2,93212.16,25.96,Government,222 NORTH HOWARD STREET NORTH,1347494400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_8adc27a50dae,Lumen McLean,VA,38.9208538,-77.2115713,contains,0.0,11,7905366.0,66511.3,66511.2,5.1,Commercial,1753 OLD MEADOW ROAD,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_14899623a0b1,TierPoint Milwaukee,WI,43.0093779,-87.9610618,contains,0.0,99,10158622.0,50359.8,50327.19,8.68,Commercial,,1351900800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_7cf3203418c1,Frontier Science,NY,42.9902011,-78.8123836,contains,0.0,52,8014524.0,24170.1,24169.71,8.1,Commercial,4047 MAPLE ROAD,1427846400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_8d9f4b8cf0b8,505 Marquette,NM,35.088399,-106.65223,nearest,8.551680696080004,30,12070108.0,31685.0,31677.39,,Industrial,505 MARQUETTE AVENUE NORTHWEST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_b82bb79938c5,123 Central,NM,35.0844494,-106.6489853,contains,0.0,18,12064596.0,16039.2,16035.29,,Commercial,123 CENTRAL AVENUE NORTHWEST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_02eebfd81a53,Oak Tower,MO,39.1010328,-94.5793375,nearest,6.932968447669011,19,11231296.0,101565.8,101565.7,23.94,Commercial,324 EAST 11TH STREET,1329609600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_27fa53a57833,Netrality Data Centers,MO,39.1009469,-94.5809437,nearest,7.712847152895898,16,11230219.0,41925.7,41925.64,43.28,Commercial,1116 GRAND BOULEVARD,1329609600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_52be2b848b4f,Netrality,IL,41.8728811,-87.63344,contains,0.0,17,34136302.0,67510.9,67510.82,53.52,Residential,673 SOUTH WELLS STREET,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_d5e6794a2612,Brandaleone Lab for Data and Visualization,NC,36.0030993,-78.9385323,contains,0.0,18,15260871.0,21374.6,21374.59,17.3,Education,415 CHAPEL DRIVE,1267488000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_d1cc4e423ca1,Frontier (supercomputer),TN,35.929597,-84.310567,contains,0.0,13,11005735.0,223650.1,223795.8,,Commercial,,1542412800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_1771855b67b2,TelePacific,CA,37.779653,-122.393857,nearest,5.842005642182611,33,16266719.0,20256.4,20256.41,9.68,Commercial,,1349049600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_23be1dc53fc6,VaultLogix,AZ,33.627367,-111.9017033,contains,0.0,29,11371983.0,20796.1,20796.04,4.72,Industrial,15679 NORTH 83RD WAY,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_60ad9b8f15c0,Profit Finder Pro Software,AZ,33.6272477,-111.9020476,contains,0.0,29,11371612.0,17383.0,17382.94,4.75,Industrial,15525 NORTH 83RD WAY,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_37739045bbd2,DataPro USA Web Development,AZ,33.6116624,-111.9139825,contains,0.0,42,11361131.0,26407.6,26407.55,4.3,Commercial,7741 EAST GRAY ROAD,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_4b4306dd4707,e360,CA,37.9710809,-122.0437382,contains,0.0,42,10002888.0,42946.6,42649.61,,Commercial,,1537574400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_dd96fac8908c,Digital Realty ORD10,IL,41.8533507,-87.6183067,contains,0.0,8,35011105.0,247826.3,247826.1,27.25,Commercial,2105 SOUTH PRAIRIE AVENUE,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_54fd156f6e89,Centersquare Chicago Data Center - ORD1,IL,41.8533827,-87.6186071,contains,0.0,13,35011105.0,247826.3,247826.1,27.25,Commercial,2105 SOUTH PRAIRIE AVENUE,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_06c982ebea67,K-Motion Interactive,AZ,33.6344843,-111.8843457,contains,0.0,32,11376350.0,18485.0,18485.05,6.19,Industrial,16419 NORTH 91ST STREET,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_e2f0d5b0e152,West Monroe,IL,41.8805271,-87.6359383,contains,0.0,22,34144829.0,55418.0,55417.98,120.41,Industrial,311 WEST MONROE STREET,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_b5221ae8a695,Iron Mountain Data Centers AZS-1,AZ,33.6446663,-111.8960985,contains,0.0,36,11382151.0,67483.7,67483.63,10.08,Commercial,8521 EAST PRINCESS DRIVE,1412467200000.0,AO,True,True,,False
dc_1ecd2bc35dc3,CoreSite Chicago Data Center (CH1),IL,41.8759405,-87.6314655,contains,0.0,27,34139019.0,37120.7,37120.71,39.43,Commercial,119 WEST VAN BUREN STREET,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_dc42b75a08e1,Accelera Data Systems,AZ,33.6647455,-112.1117142,contains,0.0,37,11328142.0,21952.6,21952.63,5.41,Industrial,2501 WEST BEHREND DRIVE,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_41dcb90246ba,Expedient Owings Mills,MD,39.427109,-76.81164,contains,0.0,1,6002184.0,45170.5,45503.17,,Commercial,,1570665600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_06efc6377b82,Lumen Baltimore,MD,39.291653,-76.619739,contains,0.0,34,7704904.0,93212.2,93212.16,25.96,Government,222 NORTH HOWARD STREET NORTH,1347494400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_aeb9d6e08cbd,Expedient Tidepoint,MD,39.274763,-76.590562,nearest,3.294508917892501,27,7691960.0,331068.3,331068.0,9.01,Industrial,1030 HULL STREET,1347494400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_366bd093071c,Flexential - Denver - Centennial Data Center,CO,39.5938733,-104.8431597,contains,0.0,7,15091990.0,42429.5,42429.49,6.26,Industrial,12500 EAST ARAPAHOE ROAD,1337212800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_dbefe86a9d2c,EdgeConneX Data Center,AZ,33.3955855,-111.9700762,contains,0.0,32,11617787.0,81821.6,81821.53,6.63,Commercial,3011 SOUTH 52ND STREET,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_c7c5fc8a1267,,MI,41.8072817,-83.6276287,nearest,71.56508565314466,16,7393664.0,2422.0,2422.875,,Residential,,1564704000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_60a8427538d7,IT,CA,33.9102899,-117.5030207,contains,0.0,20,17267105.0,13758.1,13758.12,4.76,Education,,1317168000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_f96046272fcb,"Alembic Computer Services, Inc.",AZ,33.4051307,-111.9773353,contains,0.0,22,11626045.0,14800.4,14800.38,4.49,Industrial,2125 SOUTH 48TH STREET,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_d80fbebeedc2,J-Curve Technologies,AZ,33.4131856,-111.9711539,contains,0.0,31,11630795.0,76338.3,76338.3,4.71,Commercial,2005 WEST 14TH STREET,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_623234ef1b41,Flexential Cincinnati,OH,39.3159313,-84.4494638,contains,0.0,23,544391.0,83878.3,83629.87,,Commercial,5319 MUHLHAUSER ROAD,1521936000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_023d2663ae5d,Flexential Denver - Downtown,CO,39.7455941,-104.9950455,nearest,10.383253794616715,22,15415339.0,49936.8,49936.71,16.32,Commercial,820 16TH STREET,1337212800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_65dbd76e7604,Flexential Dallas - Downtown Dallas,TX,32.8004101,-96.8193707,contains,0.0,8,29902135.0,243138.7,243138.4,32.91,Education,1950 N STEMMONS FWY,1435708800000.0,X,True,False,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,True
dc_4861bf2a2b63,Flexential Jacksonville,FL,30.2457482,-81.5817226,contains,0.0,9,24005038.0,60220.2,59988.55,,Utility and Misc,4905 BELFORT RD,1490140800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_a8ddb88fae41,Flexential - Denver - Aurora,CO,39.6610488,-104.8488321,contains,0.0,90,15211108.0,179759.6,179759.3,7.34,Commercial,11900 EAST CORNELL AVENUE,1337212800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_4bfdea1a9bd2,Flexential Nashville - Brentwood,TN,35.9727294,-86.8084949,contains,0.0,5,11003848.0,164046.1,163916.1,,Commercial,7100 COMMERCE WAY,1521072000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_3d82ec0fd7d6,Flexential Raleigh,NC,35.8505281,-78.8291431,contains,0.0,5,15359568.0,143356.7,143356.5,5.8,Commercial,5150 MCCRIMMON PKWY,1267488000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_672db836d74d,Flexential Tampa - West,FL,28.0373,-82.53998,contains,0.0,11,31489812.0,70234.1,70233.84,9.2,Industrial,9423 ANDERSON RD,1340668800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_193e064bdc4b,Flexential Salt Lake City - Lindon,UT,40.332648,-111.7278754,contains,0.0,29,6341022.0,30876.6,30854.76,,Commercial,333 SOUTH 520 WEST,1588550400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_d5a6dcb8e4b7,Digital Realty New York JFK13,NY,40.719928,-74.0044583,contains,0.0,22,7730897.0,48868.6,48838.0,106.8,Industrial,32 AVENUE OF THE AMERICAS,1376524800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_2e2dbc3e3848,Digital Realty New York JFK12,NY,40.7176766,-74.0084414,contains,0.0,26,7730764.0,63885.5,63845.47,69.18,Commercial,60 HUDSON STREET,1376524800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_e17d7e79bbea,CoreSite AT1,GA,33.7559857,-84.3911712,contains,0.0,25,17207661.0,22640.4,22640.42,75.93,Commercial,,1351209600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_a76f8d21216f,UNM Data Center,NM,35.0867385,-106.6153476,contains,0.0,43,12066948.0,34898.7,34889.43,,Education,2701 CAMPUS BOULEVARD NORTHEAST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_73ec60377ab8,Prime Santa Clara,CA,37.367929,-121.963344,nearest,39.68995265848337,21,15725642.0,37574.0,37574.04,4.52,Industrial,,1349049600000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_36114ae3ca3e,Open Data Centers Piscataway,NJ,40.5503501,-74.4568563,contains,0.0,8,6003251.0,50160.0,50237.75,,Industrial,15 CORPORATE PLACE SOUTH,1464480000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_5b163fef210d,H5 Secaucus,NJ,40.7853948,-74.0750122,contains,0.0,8,7738034.0,50467.4,50467.3,8.92,Commercial,,1376524800000.0,AE,True,True,,False
dc_e0ba05af04ef,"Forescout Technologies, Inc.",CA,37.3228675,-121.9474176,contains,0.0,52,15625355.0,33642.8,33642.73,15.37,Commercial,,1349049600000.0,D,True,False,,True
dc_10b31ee93f9a,Lumen Albany 4,NY,42.7356308,-73.818665,contains,0.0,4,7319879.0,29493.3,29476.45,8.17,Commercial,10 AIRLINE DRIVE,1347321600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_9c4395da1472,Equinix Chicago Data Center - CH1,IL,41.8535578,-87.6180475,contains,0.0,10,35011105.0,247826.3,247826.1,27.25,Commercial,2105 SOUTH PRAIRIE AVENUE,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_ad06f9a5ee9b,501 West,NJ,40.315558,-74.6688514,contains,0.0,9,34494.0,44487.3,45216.59,,Education,,1444089600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_e40648befe43,Dataverge,NY,40.6576264,-74.004628,nearest,3.883534956053075,21,7873665.0,61959.7,61920.95,34.16,Industrial,21 33 STREET,1376524800000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,True
dc_497196a639d6,TulsaConnect DC3,OK,36.0994735,-95.8382826,contains,0.0,2,7143964.0,367324.0,367323.7,7.5,Commercial,,1222992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_8d43e8f81b7b,Comarch,AZ,33.3566787,-111.6352356,none,,0,,,,,,,,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,
dc_d850cf921795,CoreSite - LA2,CA,34.0584789,-118.2359144,contains,0.0,17,14645058.0,96193.6,96193.51,22.86,Assembly,,1350432000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_feb9c3b5df7f,NTT Ashburn VA7 Data Center,VA,39.0160142,-77.471954,nearest,84.12321708247661,7,50987301.0,252896.4,252978.8,,Commercial,44245 GIGABIT PLAZA,1710374400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_4d54edf1f2b3,NTT VA11 Data Center,VA,38.7999731,-77.6099636,none,,0,,,,,,,,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_506cd0de8c4c,Lumen Madison 1 Data Center,WI,43.0677161,-89.3922794,contains,0.0,60,10440264.0,15352.3,15354.33,10.33,Commercial,,1270771200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_5b7a9e3b7823,Fiberhub LAS1,NV,36.065929,-115.13856,contains,0.0,25,2119029.0,34397.3,34397.32,5.87,Commercial,,1393977600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_c1dfe74f8be0,DāStor: 3400 Horizon Drive,PA,40.0879189,-75.3397205,contains,0.0,11,7796928.0,72434.2,72434.12,10.41,Commercial,3400 HORIZON DRIVE,1348012800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_6f6d4e070042,Rad Web Hosting,TX,32.7784469,-96.798496,nearest,21.852213283329256,14,29766705.0,40184.2,40184.14,56.49,Commercial,308 S AKARD ST,1435708800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_57b30b036cf1,Alpha Federal,WV,38.3531768,-81.6961822,contains,0.0,7,7020151.0,44075.7,44044.47,11.04,Education,,1237334400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_7c8e1e4ba3bf,Parsec Data Management,MT,45.7430786,-108.6030144,contains,0.0,6,2337511.0,12937.9,12938.54,,Commercial,3470 GABEL ROAD,1531872000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_b4dfc8453b28,Applied Digital,ND,46.9741721,-96.8739403,none,,0,,,,,,,,AE,True,True,,
dc_380aecb0436f,RIC1 DC1,VA,37.4892338,-77.2474761,contains,0.0,6,51286135.0,657028.1,657140.1,,Unclassified,6000 TECHNOLOGY BOULEVARD,1644537600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_d5435f3cc757,RIC1 DC2,VA,37.4886164,-77.2462097,contains,0.0,6,51286135.0,657028.1,657140.1,,Unclassified,6000 TECHNOLOGY BOULEVARD,1644537600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_1aee472b3c86,RIC1 DC3,VA,37.48786,-77.24483,contains,0.0,6,51286135.0,657028.1,657140.1,,Unclassified,6000 TECHNOLOGY BOULEVARD,1644537600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_40afc33af359,TulsaConnect,OK,36.153294,-95.989193,contains,0.0,27,7106433.0,17424.7,17424.69,37.1,Residential,,1222992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_4dbe408255c8,Windstream,OK,36.1485011,-95.990514,contains,0.0,23,7101912.0,15949.8,15949.78,118.5,Commercial,,1222992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_ddc20b8cfb33,TulsaConnect,OK,36.149022,-95.990391,nearest,23.319761365994886,20,7103056.0,69743.7,69743.67,7.3,Residential,,1222992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_515444aaf104,Digital Fortress - Portland 1,OR,45.5212569,-122.6817537,contains,0.0,30,8133759.0,12344.8,12335.09,44.71,Commercial,,1285027200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_9b38f4695f6f,Digital Fortress - Portland 2,OR,45.4762137,-122.7760868,contains,0.0,64,8052901.0,17049.4,17035.86,5.22,Industrial,,1285027200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_0a5b4dcabb86,Digital Fortress - Portland 3,OR,45.475634,-122.7764098,contains,0.0,51,8051650.0,23100.0,23081.74,5.28,Industrial,,1285027200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_37b6e4984473,H5 DC - Portland,OR,45.5316902,-122.6837652,contains,0.0,26,8150442.0,39696.1,39665.0,9.02,Commercial,,1285027200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,False
dc_23feba8dfbd6,Date Center West - Eugene,OR,44.0506071,-123.0929782,contains,0.0,23,1080176.0,23126.6,23108.11,,Commercial,,1565568000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_1d6382ebcca5,QTS Ashburn 2,VA,38.9982397,-77.4491455,nearest,3.116946196433089,11,2957571.0,9227.2,8860.758,,Commercial,,1536192000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_70ea5deecfdb,OCOSA,OK,36.153287,-95.989191,contains,0.0,28,7106433.0,17424.7,17424.69,37.1,Residential,,1222992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_01c60ff235ed,Vantage VA16,VA,38.9985084,-77.4406368,nearest,112.7393275350396,3,7939958.0,9120.3,9120.266,7.21,Industrial,22355 TAG WAY,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_a3b2dac5f2d0,Vantage VA15,VA,38.9994047,-77.4417901,nearest,149.74975763315663,2,51492069.0,315948.7,316042.9,,Commercial,22262 CLOUD PLAZA,1710374400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_57ca1ebae8e5,Iron City No. 1 Power Generator and Compute Center,PA,41.1410436,-78.0974055,none,,0,,,,,,,,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_a8ea97c0d02a,Cyxtera Dallas-Fort Worth Data Center,TX,32.8327103,-97.0410284,nearest,26.684717238058315,5,30638892.0,245162.7,245162.4,10.9,Commercial,14901 FAA BLVD,1435708800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
